Uid,I Want To,Tags,Id
U2,I would like to Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U24,I would like to View Customer Contracts,,1000027
U18,I would like to View the company’s or a division’s organizational chart,,1000066
U20,Look up an account or customer reference number,"Customer, Account,",1000064
U17,Manage Leave Requests,"Leave, Request, Off time,",1000067
U9,Manage online user bios and CVs,,1000075
U27,Plan a Business Trip,"travel, expenses",1000024
U16,Report an incident to HR that involves corporate insurance,"Employee, Welfare, Incident, Insurance",1000068
U23,Report an IT Problem,"help, windows, ticket, case",1000028
U21,Request a telephone,Telephone,1000063
U22,Request maintenance for my computer/printer,"Support, Problem, Technical, Assistance, Maintenance,",1000062
U7,Request my department to provide complimentary ice cream :-),,1000077
U33,Request Time Off,"pto, xto",1000017
U26,Request Travel Expense Reimbursement,"trip, travel, expense",1000025
U32,Reserve a Meeting Room,"Meeting, Meeting Room, Conference",1000018
U10,See my health plan care options,,1000074
U15,See my today's tasks,Tasks,1000069
U8,See the best ideas in the virtual suggestion box,,1000076
U57,Show me all escalated helpdesk tickets,,
U58,Show me all escalated SLAs from last <day> <week> <month>,,
U64,Show me my 401k balance,,
U53,Show me my appointments at <date> ,,
U53 ,Show me my appointments next <hour> <day> <week> <day of the week>,,
U53,Show me my meetings at <date> ,,
U53,Show me my meetings next <hour> <day> <week> <day of the week>,,
U44,Show me my open support cases,,
U60,Show me open invoices from customer,,
U59,Show me overdue invoices from customer,,
U61,Show me the order volume from <team> <region> <customer>,,
U63,Show procurement contracts becoming due for review next month,,
U3,Speak to a technician,"Support, Technical, Assistance",1000081
U28,Submit an Idea,,1000023
U13,Suggest a colleague to get an award,Award,1000071
U29,Update my Profile Page,"Profile, Information, Picture, Image, Photo,",1000022
U2,Upload a video to the Corporate YouTube,"Videos, YouTube",1000083
U24,View Customer Contracts,,1000027
U18,View the company’s or a division’s organizational chart,,1000066
U65,What do I do in case of <incident> <accident> <delay> <legal issue>,,
U62,When is the next safety audit,,
U47,Where is <person> <room> <department> <storage place>,,
U48,Which <room> <car> <technician> <driver> is available in <hours>,,
U48,Which <room> <car> <technician> <driver> is available today,,
U40,Who is responsible for ....,,
U34,Who is the manager of ... ,"Profile, Org. Chart",
U35,Who is the substitute of ...,"Profile, Org. Chart",
U68,,,
